BST8;BST_NAME;LAND;LAT;LON
10003616;TERVOLA;FINNLAND;66.089101;24.798852
10003632;MUUROLA;FINNLAND;66.328519;25.347547
10003640;ROVANIEMI;FINNLAND;66.503948;25.729391
10003673;KEMIJAERVI;FINNLAND;66.713628;27.429206
10003699;SALLA;FINNLAND;66.832653;28.670118
10003707;OULU;FINNLAND;64.979255;25.49554
10003756;MUHOS;FINNLAND;64.810069;25.974626
10003764;UTAJAERVI;FINNLAND;64.762447;26.412332
10003798;PALTAMO;FINNLAND;64.442122;27.606324
10003830;VUOKATTI;FINNLAND;64.145777;28.268999
10003855;OTANMAEKI;FINNLAND;64.110596;27.106829
10003871;KAJAANI;FINNLAND;64.219678;27.711201
10003905;KONTIOMAEKI;FINNLAND;;
10003921;HYRYNSALMI;FINNLAND;64.679145;28.48403
10003947;AEMMAENSAARI;FINNLAND;62.194193;28.628089
10003954;TAIVALKOSKI;FINNLAND;65.57503;28.243419
10004002;PIEKSAEMAEKI;FINNLAND;62.297702;27.145816
10004036;IISVESI;FINNLAND;62.665469;27.042754
10004044;SUONENJOKI;FINNLAND;62.626091;27.122123
10004085;KUOPIO;FINNLAND;62.89797;27.678173
10004119;LUIKONLAHTI;FINNLAND;62.896412;28.728731
10004135;SIILINJAERVI;FINNLAND;63.073683;27.661883
10004143;JUANKOSKI;FINNLAND;63.066083;28.330811
10004176;KIURUVESI;FINNLAND;63.653802;26.621055
10004200;IISALMI;FINNLAND;63.557773;27.191719
10004226;SOINLAHTI;FINNLAND;63.629438;27.21396
10004242;SUKEVA;FINNLAND;63.829617;27.385061
10004275;HANKASALMI;FINNLAND;62.389441;26.436133
10004325;VARKAUS;FINNLAND;62.311882;27.87787
10004457;NIIRALA GR;FINNLAND;62.175269;30.593533
10004465;NIIRALA;FINNLAND;62.175269;30.593533
10004531;KITEE;FINNLAND;62.098438;30.138005
10004606;JOENSUU;FINNLAND;62.601016;29.763572
10004655;UIMAHARJU;FINNLAND;62.914021;30.25159
10004663;UKKOLA;FINNLAND;62.957874;30.19725
10004689;LIEKSA;FINNLAND;63.318505;30.026453
10004721;NURMES;FINNLAND;63.541885;29.13957
10004804;KOUVOLA;FINNLAND;60.867884;26.70416
10004853;KAIPIAINEN;FINNLAND;60.89759;27.121369
10004861;TAAVETTI;FINNLAND;60.918752;27.513522
10004879;LUUMAEKI;FINNLAND;60.922545;27.569314
10004911;SIMOLA;FINNLAND;60.907599;28.1488
10004929;VAINIKKALA;FINNLAND;60.866427;28.299857
10004937;VAINIKKALA GR;FINNLAND;60.866427;28.299857
10004952;LAPPEENRANTA;FINNLAND;61.051281;28.185889
10004986;LAURITSALA;FINNLAND;61.07219;28.259261
10004994;JOUTSENO;FINNLAND;61.117517;28.49323
10005009;KOMMILA;FINNLAND;62.322864;27.90013
10005025;IMATRA T;FINNLAND;61.170455;28.772067
10005041;IMATRANKOSKI;FINNLAND;61.194062;28.776184
10005074;SIMPELE;FINNLAND;61.434946;29.359341
10005108;PARIKKALA;FINNLAND;61.550187;29.502402
10005173;PUNKAHARJU;FINNLAND;61.755912;29.393064
10005199;PAEAESKYLAHTI;FINNLAND;;
10005215;SAVONLINNA;FINNLAND;61.867973;28.886384
10005223;KERIMAEKI;FINNLAND;61.91262;29.281426
10005264;HAMINA GR;FINNLAND;60.45996;25.577701
10005272;HAMINA;FINNLAND;60.572408;27.196294
10005306;INKEROINEN;FINNLAND;60.701565;26.849532
10005314;KARHULA;FINNLAND;60.911033;26.039176
10005322;KOTKA;FINNLAND;60.467476;26.941395
10005371;KUUSANKOSKI;FINNLAND;60.907005;26.624334
10005447;MAENTHYHARJU;FINNLAND;61.417613;26.880512
10005454;OTAVA;FINNLAND;61.644939;27.073023
10005462;MIKKELI;FINNLAND;61.688727;27.272146
10005579;MUSSALO;FINNLAND;60.445398;26.892386
10005603;SKOELDVIK;FINNLAND;;
10005777;KELA;FINNLAND;60.120711;24.288548
10006064;MYLLYOJA;FINNLAND;60.520237;22.34576
10006395;KALKKU;FINNLAND;61.494871;23.585864
10006569;KAIPOLA;FINNLAND;61.815841;25.235006
10006783;TORNIO GR;FINNLAND;65.844493;24.152726
